Human Says:,ChatBot Says:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot
What is your name?,ChatBot.
Hello,Hello to you!
Hi!,Hello there!
How are you?,I am well.  How are you?
I like you.,I like you too.
I don't like you.,I'm sorry to hear that.
You are nice.,"Thanks, you seem nice too."
You are cool.,Ditto!
You are smart.,I've worked hard to become so.
Hello,Hi there!
Hello,Hey!
Hello,It's nice to see you!
It's nice to meet you.,It's nice to meet you too!
I think you are great!,That is nice of you to say!
You are cool.,thank you
What can you talk about,"Lots of things!<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about GSW')"";>GSW</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about WOL')"";>WOL</a><br>"
I want to talk about GSW ,Global Solution Wholesale
I want to talk about WOL,Wholesale online
What do you look like?,"<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJQAAACUCAMAAABC4vDmAAABgFBMVEX////8sEBdquJ9x/T/s0BWlsVerOZZn9P8rjo2ODgUWYAIITLTlj04PkNQiLH/tUEgPE5htO/8qij/+vX8vGV+uudnsOP4+/641/GPh4M5RE0xLChqrdbamjwgJCjc2tgmIh47OTVFZXiEZDlwtuArLjFwWTn+3rp6cm0XU3UvLy7948MmMjgrHAsAplH8zZAbRV4TGyQhMj8ANlSRkI7v7ez969SQaC9blrlensf7tU6jdTYydKGChYf+8+X7xXvDgyF4TADrpDsATXb81KAxT2JIeJ3/xiLL1N28hjZrUCvU7d/j8+q+vLoAAABOW2mpdSitqaVNT1NYXmFPgp/VnE/psGNnYFo9MSdYRClPSDsABCo3ZIc4WXSXZAyFnaKto3Wdp5vHq1rDrHRXPBV0nbVRaHC5lDzwtzOYl4Xfrz6YhEoARYuNeUxuallsjJ6EfV0AO2be6/Z3Ux6+sJ2a1LF5yJkAnTcAID6y4MZEsmvLrYW4i08AAxRevoWehGODBkAUAAAOh0lEQVR4nO2b+0PaWNrHkzSQGC4JIaMrlIs6ioBtIiHYRkw6CdCCsgp0t8LAXHa3u93b7Drdcevstu+//j4nCXdwykXdH/iqeEQSPjznOc95nnMSDFtppZVWWmmllVZaaaX/dWm5dCKRSOeCDw3SlZbQcZrm0TdPq2JOe2ggDEvrgIL3RPNiWnxge+V0QdeFASiczgUF/iGxgqIoqCpg8X0oPocJNK+mH4oprYrgTNBjgm7biga/SmBgKfCuBzJWjhfBTDitCrSuWlDQkzr6Ry6t4rTwEFQJHhd5XVdp+NEFy1DwrNNt0Ku0ev/DMAfDX4f+olGnCZav00EsmLP+qfFgOlq4dyagUXVeF+GroI5ABQXbxfR7hlKBghbBWODUouNTPaiC6ozExL0yFewgUICBp4s0jD404HgtqBU0kNoNXPR9ulXOeU9BJMGjdZFXCzmY/nRVxaEr07luOL3XDtS7b4rrIgRQvoCe3NjAcshGojUye6H0vqT15xUaJ2mbCcOUGKKiBQ0Te/13f6YSaRbJhhIT6W6YfPUKyyVEHlcHoO/Oq2LZIe0cIV3gJI7M0hdAgXIDTHjXisvXfufZs2fPn/X03JJ/zUv2DBFDP69eKRYVb4m2x8IdzTbZ0qOJeszRqvMSZWsDQ5b68ccYcIlpLZhLCFa85+8GKhaazPTo0bOdbucoawClILCNV70DC2hmHBt/tc0Jqm3MCFV7Ng3qUV0J2lJS3Vaw10DShBGnijVeP56g1/UZqRqPp0Jt/0aw9dtLYbJUWhw6WX3KyR6/mY3q/MupUK9f0LaMOE5P1Eikqr2eeqrqTFCh6VDPXpDWwCcjYfv3uIah3kw91ePG8qEu4QE3IuMy1HQ/lCnnU0/1iLsLKNZbCUfHFW5eqGIvmm1PhyoqS4J63YcyKp5ofKIOL728YNfOy4O6ZfS9jnShUhVPPNX2j6tUfBKNellc15YKdUucahn2DEcaX0efdAg3iKICbksBgiJQM+BPRS8jLI6KruVBxYrTzvP8K9KZd3cO40XCTQT8nXanQ7kJgnCXUBOegyef7LbAVtCHt0LNwoRhm9OCy+tvnN7bk+NRlxuBfPvd936OApJ25/vvvvUXobm+XgxnJC+kFHxhekj4MjQbFFZvfzlB4GrbL1ir8yQufgA2oZLfvXz58neuDvSi9Hto/j5fcq8T66V42DxCr6S/mjponmdnhMKq+0Pa+wrpmz+8ftT+jQUlc/FQgHD7t18ifd92BTpZq/m2s76+7i7F4+aOjT/VFUKxWaFGlOZRrGbxi+LzEIy/PtQf37380zsb6s8v30Hz2w4xCIWz76e4wnZtQSaoyu3cUlW/4Q4NsgtFuJi//PVv5y/fFpHR3v39bz+8c4GliD4U6+186d+eoMbiTJBb2kw4G2k2DQvqAKCIzj/+yfzwbbsEkaD4j7+bP7ztgPv3oVjvbjv0IhIb10zhYJpQuaKiOphky0c42ZLiuygQUJ12CUIBQVGUq5iHph9FB6ITP5DL0M2RrysvSPbO1hiCKkKiRYAjDYP07kbjJev9XX6/6+0rpLfQtCMWFY97duADRHYiOIohvPjLbzAfFDq54PQjzuKVwyf+AOoqkAsNpFfrqGkxheJhL/IogyUH1hi0NKTLul5IL60IE0lI4NDk79TKpBGOxjsUYclNPX/71mkTlP8g7jlm8UHRuKah9B1lgWhFaTlldJoWEglr3ndWOsCHU4fxJylHB57dbjP+JOo5IvFh0SoA9f/ihSVYK6jSqANQZZDonps0dlLRQ5CVwFgPh5ail158TDQ+lD7z+OILtwUeasyciNY79d77kKxRPga95yTpoAIPW+iv4wsvy45DQZGaSA9I5Bel0ixfLfDWx+0i4U6GzpZNhuGO4aFlPYGcmxztPjg+Xeh7UjCxOJXII6/Q1J6JQJHKnqMWx3EZ9ODb6ykCrxgG4zUs1x13uQRap1mslNbssxZg4JGo07xl0B6YZqrMJnoJClLkABTaZgKQoLWZI9K0vghVobuSj5PlSrm85UHa5W7TLnpJZsfY2RmCAiIsaDcgCi+ywBbsb8WwspmBse/7LK2Fd8Pmldf2epUfCQLiaNk6m3LdpUPoOZk5CPv81GfJtR0OJ81jiP64OhEKrS7Pq+7SIWk0pQxAwfxmfdmzCuR09lwzrkDxSTKZCZVJYMInQs0/AJ11OjLiMxmA8gWIISGoyXL7AUpi5B1r3hyxigU196pfrtt5azCsACo0DDWdqQvFSGUVDd7EkHRrs2BeKGdesWLkONQtTD0oiKrIVMOytlHmhrJdio20mAlQtzH1oeTj8QiPLwJlBwQ2ssVNgLqVqQ8lyaOpDE0vZKkgmuDJssxMgrpdfaikuYcPGIsWBB0md5yed38JbTawFzLiGYVa/2KyxqC4JGO2jJ6xaL2gFwqiOn9Iz/EkXrlimNAfuCGo9S+mr1n+ahgq2WwCVcZL9pgASoCsQ516hl9QmsebMO5870OcNGSpH6cfs/HFEFRGalbgF1dmHSgdfnhdUOePCC8yJnzW99CBHJfsQ91iqK6pbCgpk2SYrfchhrk6sh1LhAKiIBQEce6c+F8H4KiVVhJ5VJKbHSojWclM6L0PQsMOoqJFZCT4mnuSycrohC0nTWptmbtjUKdn06Gkq/eSnXhJlabj7tB9BVxXxbnnmBMZmZ6zkTJlPNJMjUCd/TTO1IMK7x6TkT0bK4kcy/R5WRJ4RBh98xEpsbpsnwtFZd8FJCHszoilbq6xvq2uT0ehtiKQtEcqMsIy68ixPBcGSYpgrPmYaqEix0mtJnInea1sWKXCCNTZpwFb/fT06ek4FKoxInscwgpVfHDGUCUCqfB8Tn7yARnIBx/OlPfKpD2cR6Guz7BTsNUZstXpv58+/XkSlJUeHvkg2EmXyOqmHJnTTjGLKZnkTN8RVADWhRtjUGfXNtcNav/8FHQ2EQoVXUa5JUkcg+xu7s/HhGWRvZOpJAeuROK8qqLvMagb7PQn6D/riBsEdToKhVszr5VokJFW8sAaNOdzLk9ZUPDRQihL4AuYlggGdXoU6hS7OcO6PnUNUDejULQKmavg1B1/zkgLQVVlayZN1lGB5eSy2qillDMMKK6dQz5NghKCWi5tV2m0WvWgyZlhZtvAGlDIRCGckf7D9i6BSI9aCgT9deMc8fMkn8JzGlSfop0+7ZtJZKkPs231DUhpfEhKuzJTx3tb6OoEKJDTezcw+p5io1C6ltYSuYTVe/+VmSiXlDOLLMJWtw5jWdNEWSMqsYOobJ8EhW0gW50C0r9vRqGMAiqKrYVA0jgwM8r+x+xii7AxT11pmBwa1ryuoasDJ0JtfHp6ffoTGnufNkahIoKYzqVFyOhgNjC5au3jzBsNY1QH9Vjd3LNjDT0heFr6hPoN6efuNDg4+pytZUipJbm2BCagOmzEOGs9QFUnTTNI112mT72peSR42h+qdZWt/vpkcSagiu7X5DUDV1nDWtmZZKlrG+mmf9Tg6MPhSJLE2eOrRvXjUpjA2399koUKSS235IrBjmUJlk5vbk5PBw8agGLZiy35CMgOzmuHS2JCtmodSPWKzJiM3DQmQo2pD+W98EG8M9cqcqYRnXfKG1ei7GlDbGeuWsAVuhxN8n4BCoqOq4OMKcH8IC+PSeQjaMKRW17WgBQ0mpqlmgmHJaYFRcyRByYXcwkDz1aCxo0tlJ0baLnzyOS2ulDrU6kcJgS1lgxFWDgQVbPzTy4j0mCSZ8sZ7tKwkzU5Ge5VyG60YDZJBNGDypgX9l7k/3kyb5bEhIkoPh2ZslNHwrhOzbKWcMllSLv+VEJJbtH9WUcaBE0SfKrVW52ozAQVT1m1Oo1rWFUylxQQ0mh6AKhmF6ofpz4Lygqe9trm8qCsVTzy2Lzqri+RM0OR9m6fwpmhWa94myJnH22L4cr2dss8UGhfVNk35WUNvoSztChD6LxAAxCgRleHf6n7IL+PZT3m3BXMmNLOavURJ5lXe6hV9oRdk1fNJ62jp5poCbH64Sop1Zeyv46kOf5NGt7jvZaVhhykfCXX52k77DlG/nTSyFaXFA4s6b3tPRK3rlJiy7u7qbXPUip10FTRqqayJA/vShu4QcZZQ/U2o9Y2ViaT8dyurYtlbBVPkDhMRavBnGp4P0sRo3BHlxEHB28mgtAMBWCwwNPQmzD/3CaaX9JG/0QqsX87GO/cGQO1Jamq+C2iaeFu74NKo7uarKsc+t2hFfDBW9dGiXj97m/NyhV0Aeq3IQ8JJgSVpsfBgH2BZd/FpSV0lbet6FwCAX8IhYe/O1JLF0TducBaFxMPD9SXdSn6Q0OsdLuULCfJWQWry4cbWNXzAWWSPjkUwxqydYWEvOVDv07Q5FvjJO5EqX5tXzvxcZnz8ZA29vOEi8g3sPNAR8GqJRdAxZKBfBVrUC6KoCiXb5uAFiXFsCxDuChXPZunKPSUdGdQ1TxVr7Uo1yZABdFfALVJlahzdL+HFCjub2a3CWn/jYtoxNqB0OYbF7W2ublF5X/Y3FxaMjWqBgVGiX2U35wHikqwVgIo5ZzIEDJ6RzmwDb+K7mIwVnI3alS+himdgATJFJW/MzOBzt1tOL2iKOcBv2kmKYCq5l2XeVe2CxXsuEtS0iVVT9xMDFMaAVO5HyjUCLjy+TyC2qdK1WIA3QLjQBElpuSSahbUxn1ANagSfPz9kyx0XzW2Cd2nFAMdqU20q10o6L5qtRM43ySgp8Gi8p13X9bvP1E28659cHTL7U9qfgJScQINw273FWMIqpYnGkoNjYG7hlKKhD+Zd8sxOyT4qZMTd3uztmn5swMV8DN5d/4Eq7soeKlUvXMoLJZp5/MhCEv5DEAlmTrXRve+7Oc/VLGv22i/hYMXtKWGgsUa0OJQ+XmSlO8UCrBq1m19MTQK7aulMbtlP4cNXEAdq9kVMfx3ycXMSiuttNJKK6200kq36f8BLJezcf2Q2rEAAAAASUVORK5CYII="">"
Do you have a website?,"<a href=""https://www.chatbot.com"">Alexa's website</a>"
What is GSW?,Global Solutions Wholesale
What are the technologies used in GSW applications?,"Java/J2EE,Cobol, Microfocus Cobol Server,WebLogic"
What are thick client applications in GSW?,"GS Wholesale, Security"
What are thin client applications in GSW?,"WSOL, Parameters"
What clients does GSW support?,"OVF,GMF"
What are the different regions in GSW?,"Europe,Germany,LatinAmerica"
What are different countries in OVF?,"EU region : France, Belgium, Italy, Spain, Netherlands,UK and GY region : Germany, Austria."
What are different countries in GMF?,"LAO region : Brazil, Chile, Colombia, Mexico, Peru."
What is PSA?,French multinational automotive manufacturing company
First Country to go live for PSA?,Italy
What are the finance company that GSW working for?,OVF(Opel Vauxhall Finance) and GMF(General Motor Financial).
What is WOL application?,Web based Java application (dynamic frond end)
What is WAS?,Wholesale Audit Application basically mobile app
What are the databases in GSW?,"Three types of database. Wholesale, Metrics,security"
What is Automic?,Automic is an automatic Job/Batch scheduler tool
Issue with handling Italy Ecoc multiple files?,Business will send us multiple files. We need to check the run numbers .the command is nohup ./WS34SD12.BAT 1 1 1 &
